candidate_id,source_label,source_path,source_record_id,source_title,source_corpus_type,source_doi,source_arxiv_id,selected_as_canonical
MWM-0008,existing,output/literature-search/medical-world-models/final-corpus/included.csv,MWM-0008,A World Model of Radiologist Reading for Medical Image Representation Learning,empirical,,2605.23992,yes
MWM-0011,existing,output/literature-search/medical-world-models/final-corpus/included.csv,MWM-0011,Action-Conditioned World Model for Goal Plane Probe Guidance in Robotic Ultrasound,empirical,,2607.21918,yes
MWM-0012,existing,output/literature-search/medical-world-models/final-corpus/included.csv,MWM-0012,Affective Music Recommendation: A Rollout-Based World Model for Offline Preference Optimization,empirical,10.48550/arxiv.2605.28810,2605.28810,yes
MWM-0013,existing,output/literature-search/medical-world-models/final-corpus/included.csv,MWM-0013,Agentifying Patient Dynamics within LLMs through Interacting with Clinical World Model,empirical,10.48550/arxiv.2605.14723,2605.14723,yes
MWM-0018,existing,output/literature-search/medical-world-models/final-corpus/included.csv,MWM-0018,Arti-JEPA: Adapting Video World Model to Real-Time MRI of the Vocal Tract for Speech-Production Analysis,empirical,10.48550/arxiv.2609.09757,,yes
MWM-0032,existing,output/literature-search/medical-world-models/final-corpus/included.csv,MWM-0032,BLINK: Behavioral Latent Modeling of NK Cell Cytotoxicity,empirical,,2603.05110,yes
MWM-0034,existing,output/literature-search/medical-world-models/final-corpus/included.csv,MWM-0034,Brain-WM: Brain Glioblastoma World Model,empirical,10.48550/arxiv.2603.07562,2603.07562,yes
MWM-0040,existing,output/literature-search/medical-world-models/final-corpus/included.csv,MWM-0040,"CalTwin: Towards Calibrated, Shift-Robust Medical World Models via Fisher-Information Regularisation",empirical,10.48550/arxiv.2607.26752,2607.26752,yes
MWM-0046,existing,output/literature-search/medical-world-models/final-corpus/included.csv,MWM-0046,ChronoMedicalWorld: A Medical World Model for Learning Patient Trajectories from Longitudinal Care Data,empirical,10.48550/arxiv.2605.21963,2605.21963,yes
MWM-0054,existing,output/literature-search/medical-world-models/final-corpus/included.csv,MWM-0054,CrossScope: A Role-Asymmetric World Model for Joint Dual-Scope Surgical Video Prediction,empirical,10.48550/arxiv.2608.03211,2608.03211,yes
MWM-0068,existing,output/literature-search/medical-world-models/final-corpus/included.csv,MWM-0068,DreamReg: Belief-Driven World Model for 2D-3D Ultrasound Registration,empirical,10.48550/arxiv.2606.18825,2606.18825,yes
MWM-0073,existing,output/literature-search/medical-world-models/final-corpus/included.csv,MWM-0073,ECG-WM: A Physiology-Informed ECG World Model for Clinical Intervention Simulation,empirical,10.48550/arxiv.2605.17580,2605.17580,yes
MWM-0074,existing,output/literature-search/medical-world-models/final-corpus/included.csv,MWM-0074,EHRWorld: A Patient-Centric Medical World Model for Long-Horizon Clinical Trajectories,empirical,10.48550/arxiv.2602.03569,2602.03569,yes
MWM-0077,existing,output/literature-search/medical-world-models/final-corpus/included.csv,MWM-0077,EyeWorld: A Generative World Model of Ocular State and Dynamics,empirical,10.48550/arxiv.2603.14039,2603.14039,yes
MWM-0078,existing,output/literature-search/medical-world-models/final-corpus/included.csv,MWM-0078,Failure Detection for Surgical Robot Imitation Policies via Flow-Matching World Modeling,empirical,,2607.27511,yes
MWM-0094,existing,output/literature-search/medical-world-models/final-corpus/included.csv,MWM-0094,Future Querying: Can LLMs Serve as Implicit Medical World Models?,empirical,10.48550/arxiv.2608.23248,2608.23248,yes
MWM-0095,existing,output/literature-search/medical-world-models/final-corpus/included.csv,MWM-0095,"GEMEO: the first patient world model for rare disease, grounding generative clinical trajectories in the genome and a biomedical knowledge graph",empirical,10.5281/zenodo.20328323,,yes
MWM-0103,existing,output/literature-search/medical-world-models/final-corpus/included.csv,MWM-0103,Intervention-Aware Clinical World Model for Post-Op Outcome Forecasting in Cardiology,empirical,10.48550/arxiv.2608.13518,2608.13518,yes
MWM-0114,existing,output/literature-search/medical-world-models/final-corpus/included.csv,MWM-0114,medDreamer: Model-Based Reinforcement Learning with Latent Imagination on Complex EHRs for Clinical Decision Support,empirical,10.1145/3770854.3780292,,yes
MWM-0116,existing,output/literature-search/medical-world-models/final-corpus/included.csv,MWM-0116,"Medical world models in healthcare: foundations, applications, and challenges for trustworthy clinical translation",review,10.48550/arxiv.2607.25242,2607.25242,yes
MWM-0117,existing,output/literature-search/medical-world-models/final-corpus/included.csv,MWM-0117,"Medical world models: representing medical states, modelling clinical dynamics and guiding intervention policies",review,10.48550/arxiv.2606.16721,2606.16721,yes
MWM-0125,existing,output/literature-search/medical-world-models/final-corpus/included.csv,MWM-0125,MRI Contrast Enhancement Kinetics World Model,empirical,10.48550/arxiv.2602.19285,2602.19285,yes
MWM-0132,existing,output/literature-search/medical-world-models/final-corpus/included.csv,MWM-0132,NeuroWorld: A Latent Brain World Model for Stimulus-Conditioned Human Brain Dynamics,empirical,,2608.01773,yes
MWM-0135,existing,output/literature-search/medical-world-models/final-corpus/included.csv,MWM-0135,Nonstationary Battery,empirical,10.5281/zenodo.20036497,,yes
MWM-0136,existing,output/literature-search/medical-world-models/final-corpus/included.csv,MWM-0136,NVIDIA Cosmos-H-Dreams: Real-Time Generative Physics Simulation for Surgical Robotics,empirical,10.48550/arxiv.2608.24199,2608.24199,yes
MWM-0138,existing,output/literature-search/medical-world-models/final-corpus/included.csv,MWM-0138,Open-H-Embodiment: A Large-Scale Dataset for Enabling Foundation Models in Medical Robotics,empirical,10.48550/arxiv.2604.21017,2604.21017,yes
MWM-0149,existing,output/literature-search/medical-world-models/final-corpus/included.csv,MWM-0149,Policy4OOD: A Knowledge-Guided World Model for Policy Intervention Simulation against the Opioid Overdose Crisis,empirical,,2602.12373,yes
MWM-0151,existing,output/literature-search/medical-world-models/final-corpus/included.csv,MWM-0151,Progressive Experience Fusion for Multi-Task World Model Control in Endovascular Navigation,empirical,10.48550/arxiv.2608.18647,2608.18647,yes
MWM-0157,existing,output/literature-search/medical-world-models/final-corpus/included.csv,MWM-0157,SAW: Toward a Surgical Action World Model via Controllable and Scalable Video Generation,empirical,10.48550/arxiv.2603.13024,2603.13024,yes
MWM-0164,existing,output/literature-search/medical-world-models/final-corpus/included.csv,MWM-0164,Simulating clinical interventions with a generative multimodal model of human physiology,empirical,10.48550/arxiv.2604.27899,2604.27899,yes
MWM-0166,existing,output/literature-search/medical-world-models/final-corpus/included.csv,MWM-0166,Sonata: A Hybrid World Model for Inertial Kinematics under Clinical Data Scarcity,empirical,10.48550/arxiv.2604.18058,2604.18058,yes
MWM-0170,existing,output/literature-search/medical-world-models/final-corpus/included.csv,MWM-0170,Surg-UniWorld: A Unified Surgical World Model with Multimodal Control Experts,empirical,10.48550/arxiv.2608.06770,2608.06770,yes
MWM-0173,existing,output/literature-search/medical-world-models/final-corpus/included.csv,MWM-0173,Surgical WAM: A World-Action Model for Data-Efficient Surgical Robot Learning,empirical,10.48550/arxiv.2608.11204,2608.11204,yes
MWM-0174,existing,output/literature-search/medical-world-models/final-corpus/included.csv,MWM-0174,SurgVista: Long-Horizon Surgical World Modeling with Plausible Instrument-Tissue Dynamics,empirical,10.48550/arxiv.2606.19889,2606.19889,yes
MWM-0175,existing,output/literature-search/medical-world-models/final-corpus/included.csv,MWM-0175,SurgWMBench: A Vision-Based Benchmark for World-Modeling Surgical Instrument Motion Planning,empirical,10.48550/arxiv.2608.08070,2608.08070,yes
MWM-0177,existing,output/literature-search/medical-world-models/final-corpus/included.csv,MWM-0177,SWoMo: Neuro-Symbolic World Model for Cataract Surgery Simulation,empirical,10.48550/arxiv.2605.16530,2605.16530,yes
MWM-0199,existing,output/literature-search/medical-world-models/final-corpus/included.csv,MWM-0199,Toward Safe Autonomous Robotic Endovascular Interventions using World Models,empirical,10.48550/arxiv.2604.20151,2604.20151,yes
MWM-0200,existing,output/literature-search/medical-world-models/final-corpus/included.csv,MWM-0200,Toward World Modeling of Physiological Signals with Chaos-Theoretic Balancing and Latent Dynamics,empirical,10.48550/arxiv.2605.15465,2605.15465,yes
