split,model,horizon_hours,patients,mean_patient_nmae,median_patient_nmae,bootstrap_95_ci_lower,bootstrap_95_ci_upper
external_test,global_median,1,10245,0.6633621348717863,0.6095375462000939,0.6582080924695342,0.6689030708344093
external_test,global_median,3,10245,0.6639278444566871,0.6106362504441952,0.6586055032680252,0.6695336353490188
external_test,global_median,6,10218,0.6658232321325104,0.6128650940680601,0.6607102766038006,0.6712867819080782
external_test,global_median,12,10178,0.6634230813143884,0.6100809664269777,0.65772057317812,0.6689669861623123
external_test,global_median,24,10162,0.6697730318621201,0.6144712372035246,0.6640240058292222,0.6753322453896655
external_test,hourly_median,1,10245,0.6698902053534631,0.6140389643095613,0.6641811462160253,0.6756744067441873
external_test,hourly_median,3,10245,0.6707439764838267,0.6169445005093983,0.6652670799372276,0.676307015536346
external_test,hourly_median,6,10218,0.6719050173153197,0.6195527855306606,0.6664232123728032,0.6775618695484588
external_test,hourly_median,12,10178,0.6617272366683973,0.6105719801324373,0.6562482973969523,0.6669312560815209
external_test,hourly_median,24,10162,0.6624417691550879,0.6046873568381954,0.6571190148310808,0.6680273371030531
external_test,locf,1,10245,0.38526378215079654,0.3496238158320349,0.3814655821787022,0.38951153170691033
external_test,locf,3,10245,0.46138488495355373,0.4266794639908372,0.4574897365762642,0.46541568856807175
external_test,locf,6,10218,0.5223365130796808,0.4828918991596472,0.5176056658993989,0.5272207828192671
external_test,locf,12,10178,0.5752986591510478,0.5375598798302492,0.5706062120848353,0.5802844112353894
external_test,locf,24,10162,0.6033291539173524,0.5618432133467038,0.5980385758132095,0.6088611901624239
internal_test,global_median,1,1810,0.6099562722414755,0.5719503082520676,0.5987855161951996,0.6208419673197024
internal_test,global_median,3,1807,0.6185126314442865,0.5841144089476697,0.6074666888662914,0.6294070648620734
internal_test,global_median,6,1796,0.618890212671302,0.5862060901530596,0.608301544080414,0.6304238807624004
internal_test,global_median,12,1806,0.6196818214300599,0.5815952624831207,0.6085086890722723,0.6307487599368884
internal_test,global_median,24,1773,0.6293810190601082,0.5938208164088381,0.6183254141128774,0.6406442263620137
internal_test,hourly_median,1,1810,0.6097004891654547,0.567883966263355,0.5993429715693429,0.6202473671324255
internal_test,hourly_median,3,1807,0.6186654915080655,0.583094950018725,0.6087163767771216,0.6291635848257504
internal_test,hourly_median,6,1796,0.6187792563523559,0.5827037725591637,0.6073768982793633,0.6302966763493804
internal_test,hourly_median,12,1806,0.6179801683956204,0.5840729941892593,0.6075553215150544,0.6288536845689198
internal_test,hourly_median,24,1773,0.6235370466251433,0.589248672909063,0.6119969759481193,0.6351885152757818
internal_test,locf,1,1810,0.3656905092424367,0.33883930153647973,0.35773035540933884,0.37385018066951714
internal_test,locf,3,1807,0.443160874075707,0.4072626558185283,0.4339935485657216,0.45267729470026624
internal_test,locf,6,1796,0.5004412454937223,0.4656936764319499,0.4901595537867771,0.5115307246658369
internal_test,locf,12,1806,0.5525316803882975,0.51932119074912,0.5420416084028771,0.5630721148678542
internal_test,locf,24,1773,0.5998320297536802,0.5657269651670549,0.5877425408221674,0.6122266825697706
